序号,单词,释义
1,a ,art.一(个) 每一(个)
2,a.m,n.(缩)上午午前
3,abandon,vt.丢弃放弃抛弃n.放纵
4,ability,n.能力能耐本领
5,able,adj.能干的有能力的出色的
6,abnormal,adj.反常的不正常的不规则的变态的n.不正常的人
7,aboard,adv.在船(车)上在火车上在飞机上prep.上船上飞机上车
8,abolish,vt.废除，取消
9,about,prep.关于在...周围adj.准备adv.大约
10,above,prep.在...上面超过高于adj.上面的adv.在上面超过n.上面的东西
11,abroad,adv.(在)国外海外(一般作表语)到处到国外广为流传
12,abrupt,a. 突然的，意外的，唐突的
13,absence,n.缺席不在场缺乏
14,absent,adj.缺席的不在场的缺乏的vt.使缺席prep.没有
15,absolute,adj.绝对的纯粹的完全的无限制的独立的专制的n.绝对的事物
16,absolutely,adv.独立地完全地绝对地
17,absorb,vt.吸收吸纳吸引...的注意吞并使专心
18,abstract,adj.抽象的理论的n.摘要抽象的东西vt.移除摘要偷vi.做摘要
19,absurd,a.不合理的，荒唐的
20,abundance,n.丰富，充裕
21,abundant,adj.丰富的充裕的大量的
22,abuse,vt.滥用辱骂虐待n.滥用恶习
23,academic,adj.学院的理论的学术性的n.教学人员学术人员
24,academy,n.私立中学专科院校学院学术学会
25,accelerate,vt.(使)加快促进加速提前跳级vi.加速
26,acceleration,n.加速促进加速度
27,accent,n.口音腔调重音强调vt.重读强调
28,accept,vt.接受同意承担(责任等)vi.接受
29,acceptable,adj.可接受的合意的受欢迎的
30,acceptance,n.接受（礼物、邀请、建议等）同意认可验收承认
31,access,n.进入接近(的机会)使用之权通道入口vt.(电脑)存取进入
32,accessory,n.同谋 a.附属的
33,accident,n.意外的事故
34,accidental,a.意外的偶然的附属的非本质的n.偶然不重要的东西<音>变调的临时符号
35,accommodate,vt.容纳供应供给提供方便使一致和解顾及vi.使自己适应
36,accommodation,n.招待设备预定铺位住处膳宿适应和解
37,accompany,vt.陪伴陪同伴随给...伴奏vi.伴奏
38,accomplish,vt.达到(目的)完成
39,accord,vt.使一致调解赠予给予n.一致调和协议自愿vi.(与)一致
40,accordance,n.一致和谐授予符合同意
41,accordingly,adv.因此所以于是相应地照着
42,account,n.记述解释根据理由帐目报告估计利益好处vi.报账解释导致vt.把...视为归咎(于)
43,accumulate,vt.积累累加堆积vi.堆积累积
44,accuracy,n.准确(性)准确度
45,accurate,adj.准确的正确无误的
46,accuse,vt.指责责备控告归咎于
47,accustom,vt.使...习惯
48,accustomed,adj.惯常的习惯的
49,ache,vi.痛想念渴望n.疼痛
50,achieve,vt.完成实现达到vi.达到目的
51,achievement,n.完成成就成绩达到
52,acid,n.酸酸味物质adj.酸的酸性的
53,acknowledge,vt.承认；告知收到
54,acquaint,vt.使认识，使了解
55,acquaintance,n.认识了解熟人
56,acquire,vt.占有取得获得学到
57,acquisition,"n. 获得,添加的物品"
58,acre,n.英亩(=6.07亩)
59,across,prep.横过穿过在...对面adv.横过使...被理解(或接受)
60,act,vi.行动表演表现充当见效vt.表演扮演n.行为行动法案（戏剧、歌剧等的）一幕
61,action,n.起诉行动作用功能情节活动
62,activate,"vt. 刺激,使活动"
63,active,adj.活跃的积极的主动的
64,activity,n.活动活跃活力行动vt.表演adj.厉害
65,actor,n.男演员演剧的人
66,actress,n.女演员
67,actual,adj.实际的真实的现行的
68,actually,adv.实际上事实上居然竟然（表示惊讶）
69,acute,adj.尖的锐的敏锐的敏锐的激烈的
70,ad,n.(缩)广告abbr.(advertisement[?d'v?:tism?nt]的缩写)广告
71,adapt,vt.使适应改编vi.适应适合
72,add,vt.添加附加掺加增加
73,addition,n.加加法附加物增加
74,additional,adj.附加的追加的另外的
75,address,n. 地址住址致词讲话演说谈吐(处理问题的)技巧vt. 发表演说写地址称呼对付(图书、文章等)讨论(某主题)
76,adequate,adj.足够的充足的适当的可以胜任的
77,adhere,vi. (fml)粘附;追随;坚持(~ to sth)
78,adjacent,a.毗连的；紧接着的
79,adjective,n.形容词adj.形容词的不独立的
80,adjoin,vt.贴近，毗连；靠近
81,adjust,vt.调整调节校正使...适于vi.适应
82,administer,"vt.执行,管理,治理,"
83,administration,n.管理行政管理部门
84,admire,vt.钦佩羡慕赞赏
85,admission,n.允许进入承认许可入会费
86,admit,vt.承认准许...进入vi.允许进入允许承认
87,adolescent,"a.青春期的,青年的n.青少年"
88,adopt,vt.收养采用采取接受
89,adult,n.成年人adj.成年的成人的成熟的
90,advance,n.前进进展进步预支vt.前进增涨预先vi.前进提高提升adj.预先的提前的
91,advanced,adj.先进的高级的
92,advantage,n.优点优势有利条件好处vt.有利于
93,advent,"n. 来到,来临"
94,adventure,n.冒险奇遇惊险活动vt.冒险尝试vi.大胆进行冒险
95,adverb,n.副词adj.副词的
96,adverse,"a. 不利的,敌对的,相反的,逆的"
97,advertise,vt.通知 vi.登广告
98,advertisement,n.广告公告登广告
99,advice,n.劝告忠告意见建议
100,advisable,n.明智的可取的
101,advise,vt.劝告建议通知警告vi.劝告与...商量
102,advocate,n.辩护者 vt.拥护
103,aerial,a.空气的；航空的
104,aero,adj.飞机的航空的飞行的
105,aeroplane,n.飞机
106,aesthetic,"a. 美学的,审美的,有美感"
107,affair,n.事情事件事务绯闻
108,affect,vt.影响感动作用
109,affection,n.慈爱爱爱慕影响喜爱感情
110,affiliate,"vt. 附属,接纳 vi. 有关"
111,affirm,vt.断言，批准；证实
112,afflict,"vt. 使痛苦,折磨"
113,afford,vt.担负得起(后果损失等)提供给予
114,afraid,adj.害怕的担心的
115,Africa,n.非洲
116,African,adj.非洲的非洲人的n.非洲人
117,after,adj.以后的adv.以后后来conj.在...以后prep.在...以后次于
118,afternoon,n.下午午后int.下午好
119,afterward,adv.后来以后
120,again,adv.又一次而且又再另一方面
121,against,prep.倚在倚靠逆对着反对违背防御相比相对
122,age,n.年龄时代时期很长时间vt.(使)变老vi.变老(使）变成熟
123,agency,n.经办代理代理处政府机构
124,agenda,"n. 议程,应办事项"
125,agent,n.代理人代理商特工人员药剂
126,aggravate,"vt. 使恶化,使更加重"
127,aggressive,adj.侵略的好斗的攻击性的有进取心的强烈的迅速生长的
128,agitation,n.鼓动，煸动；搅动
129,ago,adv.以前
130,agony,n.极度痛苦挣扎
131,agree,vt.同意赞成承认vi.同意持相同意见一致符合
132,agreeable,a.惬意的；同意的
133,agreement,n.协定协议同意一致
134,agriculture,n.农业农艺农学
135,ahead,adv.在前向前提前将来地占优势
136,AI,abbr.人工智能=(Artificial Intelligence)
137,aid,n.帮助救护助手辅助物v.援助帮助救护abbr.=Agency for International Development 国际开发署[美]
138,aim,n.目标对准枪法vt.瞄准针对vi.瞄准针对致力旨在打算
139,air,n.空气空中外观旋律气氛态度v.晾干使通风广播
140,aircraft,n.飞机飞行器
141,airline,n.航空公司航线
142,airplane,n.飞机=aeroplane(英）
143,airport,n.机场航空站
144,alarm,n.惊恐惊慌忧虑警报警告报警器vt.使...惊慌警告装报警器
145,alcohol,n.酒精酒醇乙醇
146,alert,a.警惕的；活跃的
147,alien,a.外国的 n.外国人
148,alike,adj.同样的相同的相似的adv.一样以同样的方式
149,alive,adj.活着的有活力活跃的
150,all,adj.全部的所有的adv.全部非常全然所有prep.全部pron.全部所有n.全部
151,allege,"vt. 宣称,申述,主张,断言"
152,alleviate,"vt. 减轻,使缓和"
153,alliance,"n. 联盟,联合"
154,allocate,"vt. 分派,分配"
155,allow,vi.(for)考虑到使可能vt.允许准许承认给予断定
156,allowance,n津贴，补助费
157,alloy,n.合金(金属的)成色vt.使...成合金搀以劣质减低成色影响或贬损vi.有合金能力
158,ally,n.盟国，同盟者，伙伴
159,almost,adv.几乎差不多adj.几乎
160,alone,adj.单独的仅仅独自一人adv.单独地只有独一无二地
161,along,adv.向前(与某人)一道prep.沿着
162,alongside,prep.在…旁边
163,aloud,adv.出声地大声地
164,alphabet,n.字母表字母系统符号系统基本原理(元素)
165,already,adv.早已已经
166,also,adv.亦也而且还同样地
167,alter,vt.改变变更改做
168,alternate,vt.使交替 a.交替的
169,alternative,adj.两者择一的供选择的非主流的n.替换物取舍抉择
170,although,conj.尽管虽然
171,altitude,n.高高度海拔高处高地
172,altogether,adv.完全总共总而言之
173,aluminium,n.铝
174,always,adv.总是一直永远
175,amateur,a.业余的n.业余爱好者
176,amaze,vt.使惊奇使惊愕
177,ambassador,n.大使，使节
178,ambiguous,a.模棱两可的；分歧的
179,ambition,n.雄心，抱负，野心，精力vt.有..野心追求
180,ambitious,a.有雄心的；热望的
181,ambulance,n.救护车野战医院
182,amend,"vt. 修正,改善,vi. 改过自新"
183,amends,n. 赔偿
184,America,n.美洲美国
185,American,adj.美洲的美国的美式的n.美国人美式英语
186,among,prep.在...之中
187,amongst,prep在...之中在...之间(=among)
188,amount,n.总数数量总额和vi.总计等于
189,ampere,n.安培
190,ample,a.足够的；宽敞的
191,amplify,vt.放大，增强；扩大
192,amuse,vt.逗乐给...娱乐消遣
193,analogy,n.相似，类似；比拟
194,analyse,vt.分析分解解析检讨细察
195,analysis,n.分析分解解析
196,analytic,"a. 分析的,解析的"
197,analytical,"a. 分析的,解析的"
198,ancestor,n.祖宗祖先原种
199,anchor,n.铁锚vi.抛锚停泊用锚系住担任（广播电视新闻节目）的主持人
200,ancient,adj.古代的古老的n.古人古货币
201,and,conj.和又并则逻辑与
202,angel,n.天使，神差，安琪儿
203,anger,n.怒愤怒vt.使发怒激怒
204,angle,n.角角度角落vt.斜移转变角度vi.钓鱼谋取转变角度
205,Angle,n.盎格鲁人
206,angry,adj.愤怒的生气的伤口红肿的
207,animal,n.动物兽兽性与众不同的人adj.动物的野兽的动物性的
208,ankle,n.踝踝关节
209,anniversary,n.周年纪念日
210,announce,vi.当电台的播音员宣称vt.宣布宣告发表通知
211,announcer,n.宣告者播音员广播员告知者
212,annoy,vt.使恼怒使生气打搅骚扰使...苦恼
213,annual,adj.每年的年度的一年生的n.年报年刊年鉴一年生植物
214,anonymous,a. 匿名的
215,another,adj.再一个的别的另一的不同的pron.另一个
216,answer,n.答案回答反驳回应vi.回答符合vt.回答响应适应
217,ant,n.蚂蚁
218,antarctic,a.南极的 n.南极区
219,anticipate,vt.预料预期期望抢...前语言提前使用vi.预期
220,antique,a.古代的 n.古物
221,anxiety,n.焦虑忧虑渴望担心
222,anxious,adj.焦急的忧虑的渴望的
